Time,TOD,Total (W),Phase_A (W),Phase_B (W),Phase_C (W),Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,Holiday
2024-01-04 15:00:00,15:00:00,821.0,207.0,467.0,147.0,False,False,False,False,True,False,False,False
2024-01-04 16:00:00,16:00:00,741.0,298.0,329.0,114.0,False,False,False,False,True,False,False,False
2024-01-04 17:00:00,17:00:00,776.0,363.0,278.0,135.0,False,False,False,False,True,False,False,False
2024-01-04 18:00:00,18:00:00,1260.0,659.0,419.0,182.0,False,False,False,False,True,False,False,False
2024-01-04 19:00:00,19:00:00,973.0,381.0,410.0,182.0,False,False,False,False,True,False,False,False
2024-01-04 20:00:00,20:00:00,929.0,429.0,316.0,184.0,False,False,False,False,True,False,False,False
2024-01-04 21:00:00,21:00:00,1812.0,509.0,1119.0,184.0,False,False,False,False,True,False,False,False
2024-01-04 22:00:00,22:00:00,715.0,159.0,372.0,184.0,False,False,False,False,True,False,False,False
2024-01-04 23:00:00,23:00:00,959.0,463.0,311.0,185.0,False,False,False,False,True,False,False,False
2024-01-05 00:00:00,00:00:00,834.0,344.0,303.0,187.0,True,False,False,False,False,False,False,False
2024-01-05 01:00:00,01:00:00,694.0,173.0,333.0,188.0,True,False,False,False,False,False,False,False
2024-01-05 02:00:00,02:00:00,1561.0,297.0,1077.0,187.0,True,False,False,False,False,False,False,False
2024-01-05 03:00:00,03:00:00,990.0,360.0,442.0,188.0,True,False,False,False,False,False,False,False
2024-01-05 04:00:00,04:00:00,2081.0,880.0,1012.0,189.0,True,False,False,False,False,False,False,False
2024-01-05 05:00:00,05:00:00,818.0,190.0,441.0,187.0,True,False,False,False,False,False,False,False
2024-01-05 06:00:00,06:00:00,739.0,274.0,283.0,182.0,True,False,False,False,False,False,False,False
2024-01-05 07:00:00,07:00:00,839.0,396.0,301.0,142.0,True,False,False,False,False,False,False,False
2024-01-05 08:00:00,08:00:00,614.0,252.0,250.0,112.0,True,False,False,False,False,False,False,False
2024-01-05 09:00:00,09:00:00,739.0,263.0,372.0,104.0,True,False,False,False,False,False,False,False
2024-01-05 10:00:00,10:00:00,1819.0,296.0,330.0,1193.0,True,False,False,False,False,False,False,False
2024-01-05 11:00:00,11:00:00,2699.0,774.0,471.0,1454.0,True,False,False,False,False,False,False,False
2024-01-05 12:00:00,12:00:00,3524.0,672.0,1345.0,1507.0,True,False,False,False,False,False,False,False
2024-01-05 13:00:00,13:00:00,2672.0,574.0,600.0,1498.0,True,False,False,False,False,False,False,False
2024-01-05 14:00:00,14:00:00,2280.0,436.0,347.0,1497.0,True,False,False,False,False,False,False,False
2024-01-05 15:00:00,15:00:00,1853.0,377.0,512.0,964.0,True,False,False,False,False,False,False,False
2024-01-05 16:00:00,16:00:00,607.0,216.0,287.0,104.0,True,False,False,False,False,False,False,False
2024-01-05 17:00:00,17:00:00,621.0,233.0,261.0,127.0,True,False,False,False,False,False,False,False
2024-01-05 18:00:00,18:00:00,873.0,421.0,268.0,184.0,True,False,False,False,False,False,False,False
2024-01-05 19:00:00,19:00:00,1044.0,468.0,392.0,184.0,True,False,False,False,False,False,False,False
2024-01-05 20:00:00,20:00:00,647.0,197.0,265.0,185.0,True,False,False,False,False,False,False,False
2024-01-05 21:00:00,21:00:00,759.0,234.0,340.0,185.0,True,False,False,False,False,False,False,False
2024-01-05 22:00:00,22:00:00,949.0,412.0,353.0,184.0,True,False,False,False,False,False,False,False
2024-01-05 23:00:00,23:00:00,826.0,318.0,322.0,186.0,True,False,False,False,False,False,False,False
2024-01-06 00:00:00,00:00:00,732.0,196.0,349.0,187.0,False,False,True,False,False,False,False,True
2024-01-06 01:00:00,01:00:00,1226.0,612.0,428.0,186.0,False,False,True,False,False,False,False,True
2024-01-06 02:00:00,02:00:00,593.0,81.0,325.0,187.0,False,False,True,False,False,False,False,True
2024-01-06 03:00:00,03:00:00,1148.0,644.0,317.0,187.0,False,False,True,False,False,False,False,True
2024-01-06 04:00:00,04:00:00,655.0,81.0,386.0,188.0,False,False,True,False,False,False,False,True
2024-01-06 05:00:00,05:00:00,667.0,187.0,294.0,186.0,False,False,True,False,False,False,False,True
2024-01-06 06:00:00,06:00:00,826.0,364.0,276.0,186.0,False,False,True,False,False,False,False,True
2024-01-06 07:00:00,07:00:00,843.0,322.0,376.0,145.0,False,False,True,False,False,False,False,True
2024-01-06 08:00:00,08:00:00,568.0,107.0,346.0,115.0,False,False,True,False,False,False,False,True
2024-01-06 09:00:00,09:00:00,631.0,130.0,396.0,105.0,False,False,True,False,False,False,False,True
2024-01-06 10:00:00,10:00:00,552.0,108.0,340.0,104.0,False,False,True,False,False,False,False,True
2024-01-06 11:00:00,11:00:00,753.0,371.0,276.0,106.0,False,False,True,False,False,False,False,True
2024-01-06 12:00:00,12:00:00,478.0,108.0,264.0,106.0,False,False,True,False,False,False,False,True
2024-01-06 13:00:00,13:00:00,827.0,460.0,262.0,105.0,False,False,True,False,False,False,False,True
2024-01-06 14:00:00,14:00:00,611.0,96.0,409.0,106.0,False,False,True,False,False,False,False,True
2024-01-06 15:00:00,15:00:00,1009.0,452.0,452.0,105.0,False,False,True,False,False,False,False,True
